avf;avl;avr;i;ii;iii;v1;v2;v3;v4;v5;v6
3.676;0.958;-0.722;-2.451;1.676;0.108;-3.003;-3.281;-3.804;-4.477;1.507;6.33
3.663;0.958;-0.709;-2.444;1.663;0.114;-3.029;-3.304;-3.846;-4.52;1.493;6.317
3.588;0.941;-0.65;-2.399;1.598;0.137;-3.029;-3.304;-3.859;-4.533;1.516;6.343
3.657;1.01;-0.65;-2.467;1.631;0.17;-3.039;-3.307;-3.873;-4.536;1.533;6.366
3.657;1.065;-0.595;-2.497;1.605;0.225;-3.062;-3.33;-3.905;-4.546;1.516;6.359
3.716;1.105;-0.614;-2.546;1.644;0.235;-3.065;-3.317;-3.879;-4.526;1.513;6.366
3.657;1.111;-0.549;-2.52;1.582;0.271;-3.075;-3.307;-3.853;-4.487;1.533;6.382
3.739;1.203;-0.539;-2.605;1.618;0.324;-3.078;-3.265;-3.794;-4.428;1.569;6.412
3.748;1.225;-0.526;-2.621;1.614;0.34;-3.072;-3.209;-3.709;-4.34;1.605;6.435
3.827;1.154;-0.676;-2.624;1.729;0.229;-3.033;-3.111;-3.582;-4.186;1.667;6.477
3.833;1.078;-0.758;-2.592;1.775;0.15;-2.993;-3.029;-3.454;-4.046;1.706;6.51
3.908;1.108;-0.804;-2.644;1.833;0.144;-2.967;-2.958;-3.353;-3.941;1.716;6.477
3.984;1.121;-0.866;-2.686;1.902;0.118;-2.958;-2.931;-3.317;-3.876;1.732;6.474
3.993;1.147;-0.85;-2.706;1.899;0.141;-2.928;-2.922;-3.304;-3.843;1.732;6.464
3.876;1.098;-0.781;-2.621;1.807;0.15;-2.922;-2.954;-3.343;-3.873;1.709;6.425
3.856;1.098;-0.761;-2.611;1.788;0.16;-2.941;-3.01;-3.412;-3.941;1.68;6.389
3.873;1.144;-0.732;-2.644;1.781;0.196;-2.928;-3.042;-3.474;-3.99;1.65;6.382
3.778;1.124;-0.657;-2.585;1.696;0.225;-2.951;-3.108;-3.582;-4.078;1.601;6.35
3.778;1.147;-0.634;-2.598;1.683;0.248;-2.958;-3.147;-3.657;-4.137;1.595;6.343
3.755;1.15;-0.608;-2.588;1.66;0.261;-2.967;-3.173;-3.693;-4.173;1.578;6.353
3.706;1.141;-0.569;-2.559;1.614;0.278;-2.977;-3.209;-3.732;-4.219;1.536;6.32
3.712;1.144;-0.572;-2.562;1.621;0.278;-3.007;-3.245;-3.758;-4.258;1.526;6.317
3.68;1.17;-0.513;-2.559;1.575;0.32;-3.023;-3.271;-3.781;-4.291;1.523;6.317
3.683;1.147;-0.539;-2.549;1.588;0.294;-3.013;-3.268;-3.791;-4.301;1.516;6.304
3.654;1.127;-0.529;-2.526;1.569;0.291;-3.02;-3.288;-3.814;-4.327;1.49;6.281
3.716;1.196;-0.523;-2.592;1.598;0.327;-3.029;-3.284;-3.807;-4.327;1.448;6.258
3.673;1.163;-0.513;-2.552;1.572;0.317;-3.036;-3.301;-3.817;-4.343;1.435;6.252
3.654;1.131;-0.526;-2.526;1.569;0.294;-3.026;-3.288;-3.801;-4.327;1.451;6.258
3.676;1.15;-0.529;-2.549;1.582;0.301;-3.049;-3.304;-3.817;-4.33;1.477;6.304
3.641;1.095;-0.549;-2.503;1.572;0.265;-3.056;-3.31;-3.824;-4.333;1.451;6.278
3.624;1.141;-0.487;-2.516;1.533;0.317;-3.059;-3.307;-3.84;-4.34;1.464;6.297
3.614;1.095;-0.523;-2.49;1.546;0.278;-3.069;-3.327;-3.869;-4.359;1.454;6.288
3.614;1.088;-0.529;-2.487;1.549;0.271;-3.065;-3.31;-3.866;-4.359;1.438;6.281
3.654;1.154;-0.503;-2.539;1.556;0.317;-3.078;-3.31;-3.859;-4.366;1.451;6.281
3.621;1.069;-0.556;-2.48;1.565;0.248;-3.108;-3.317;-3.886;-4.399;1.428;6.278
3.663;1.111;-0.556;-2.523;1.588;0.268;-3.111;-3.307;-3.892;-4.402;1.454;6.31
3.706;1.144;-0.565;-2.559;1.614;0.281;-3.105;-3.261;-3.873;-4.373;1.513;6.389
3.654;1.003;-0.654;-2.464;1.631;0.167;-3.15;-3.284;-3.925;-4.405;1.428;6.346
3.703;0.922;-0.784;-2.448;1.722;0.059;-3.098;-3.222;-3.941;-4.428;1.369;6.297
3.83;0.817;-1.016;-2.458;1.902;-0.108;-3.036;-2.987;-3.765;-4.301;1.356;6.304
4.056;1.314;-0.745;-2.82;1.879;0.278;-3.373;-3.114;-3.575;-3.928;1.843;6.81
